Challenge Area,Challenge Sub-Area,Challenge Component,Benchmark ID,Dataset,Data Producer,Year,Producer ID,Indicator Title,Indicator ID,Source Indicator ID,Indicator Question,Indicator Description,Value Max,Possible Text Values,Qual. Assessment,URL(s),Core vs Context,Cluster?,Primary,Secondary,Rest,All
Digital Governance,Data Protection and Privacy,NA,dg_priv_02,Global Index on Responsible AI 1st Edition,Global Index on Responsible AI,2024,GIRAI,Legal Status,dg_priv_legal,Data Protection and Privacy: fr_doc1_type_text,Is there a legally binding or enforceable framework?,"From GIRAI:

The right to privacy is defined as the right of a person ‘to be free from intrusion into or publicity concerning matters of a personal nature’ by government and/or third parties, including private entities or individuals. While the right to privacy has been provided for under various legal traditions, it first found expression as a human right in 1948 when the UN General Assembly adopted Article 12 of the Universal Declaration of Human Rights (UDHR), before being enshrined as an individual right in Article 17 of the International Covenant on Civil and Political Rights (ICCPR). It is worth noting that the right to privacy is not an absolute right and can be limited under circumstances provided for in law, such as the protection of national security interests or in the prevention and prosecution of criminal matters.

The right to privacy has evolved to include information privacy, which is defined as the right of an individual to have control over who has access to their personal data and for what purpose. The UNESCO Principles on Personal Data Protection and Privacy define personal data as “any information relating to an individual (data subject) who can be identified from that data, either directly or indirectly” by referencing the data and by other “reasonably likely measures” that is processed by AI tools and systems.

Accordingly, the right to privacy, specifically information privacy, data protection, and data processing are closely linked. Data protection is one of the ways the right to privacy is protected by regulating the processing of personal data and information, and establishing accountability mechanisms when personal data is misused. Data processing is defined as ‘a series of manual, automatic, or electronic operations such as validating, sorting, summarising and aggregating data’ which are ‘usually followed by data retrieval, transformation, classification, analysis and reporting’.



",1,No; Yes,1,"Method: https://drive.google.com/file/d/1LPE9nEoq5oprQEpJLSaXrQPuGV1cyusd/view
Thematic Overview: https://drive.google.com/file/d/1C7gap7hUXyURi0cpAj0HMWktRWmYlEYa/view",Core,0,RCID_090,,RCID_091; RCID_092; RCID_093; RCID_094; RCID_095; RCID_096; RCID_097; RCID_098; RCID_099; RCID_100; RCID_101; RCID_102; RCID_103; RCID_104; RCID_105; RCID_106,RCID_090; RCID_091; RCID_092; RCID_093; RCID_094; RCID_095; RCID_096; RCID_097; RCID_098; RCID_099; RCID_100; RCID_101; RCID_102; RCID_103; RCID_104; RCID_105; RCID_106
Digital Governance,Data Protection and Privacy,NA,dg_priv_03,Global Index on Responsible AI 1st Edition,Global Index on Responsible AI,2024,GIRAI,Government Actions,dg_priv_actions,Data Protection and Privacy: ga_existence_text,Is there evidence of actions of the national/federal government to address AI in this area?,"If the country has an adopted framework in place for the thematic area, any government action in relation to that thematic area is taken as a proxy of implementation of an existing framework by the state. This excludes government actions in relation to developing a new framework – whether the government already has a framework or not – which are captured in the Frameworks indicator.

From GIRAI: 

The right to privacy is defined as the right of a person ‘to be free from intrusion into or publicity concerning matters of a personal nature’ by government and/or third parties, including private entities or individuals. While the right to privacy has been provided for under various legal traditions, it first found expression as a human right in 1948 when the UN General Assembly adopted Article 12 of the Universal Declaration of Human Rights (UDHR), before being enshrined as an individual right in Article 17 of the International Covenant on Civil and Political Rights (ICCPR). It is worth noting that the right to privacy is not an absolute right and can be limited under circumstances provided for in law, such as the protection of national security interests or in the prevention and prosecution of criminal matters.

The right to privacy has evolved to include information privacy, which is defined as the right of an individual to have control over who has access to their personal data and for what purpose. The UNESCO Principles on Personal Data Protection and Privacy define personal data as “any information relating to an individual (data subject) who can be identified from that data, either directly or indirectly” by referencing the data and by other “reasonably likely measures” that is processed by AI tools and systems.

Accordingly, the right to privacy, specifically information privacy, data protection, and data processing are closely linked. Data protection is one of the ways the right to privacy is protected by regulating the processing of personal data and information, and establishing accountability mechanisms when personal data is misused. Data processing is defined as ‘a series of manual, automatic, or electronic operations such as validating, sorting, summarising and aggregating data’ which are ‘usually followed by data retrieval, transformation, classification, analysis and reporting’.




",1,No; Yes,1,"Method: https://drive.google.com/file/d/1LPE9nEoq5oprQEpJLSaXrQPuGV1cyusd/view
Thematic Overview: https://drive.google.com/file/d/1C7gap7hUXyURi0cpAj0HMWktRWmYlEYa/view",Core,0,"RCID_091, RCID_092, RCID_092, RCID_098; RCID_099; RCID_101",,RCID_090; RCID_091; RCID_092; RCID_093; RCID_094; RCID_095; RCID_096; RCID_097; RCID_098; RCID_100; RCID_102; RCID_103; RCID_104; RCID_105; RCID_106,RCID_090; RCID_091; RCID_092; RCID_093; RCID_094; RCID_095; RCID_096; RCID_097; RCID_098; RCID_099; RCID_100; RCID_101; RCID_102; RCID_103; RCID_104; RCID_105; RCID_106
Digital Governance,Gender Equality,NA,dg_gend_01,Global Index on Responsible AI 1st Edition,Global Index on Responsible AI,2024,GIRAI,Frameworks,dg_gend_frame,Gender Equality: fr_doc1_existence_text,"Are there national/federal laws, regulations, policies, strategies, plans and/or guidelines that specifically speak to AI in this area?","For the purpose of this indicator, frameworks addressing this thematic area include:

1) Non-binding frameworks that provide guidelines, principles, recommendations, which are voluntary measures that implementers should follow, but are not required to.
2) Policies, strategies, long term strategic plans, etc. that articulate the approach adopted by the government and are expected to be accomplished.
3) Legally enforceable frameworks such as laws, by-laws, decrees, resolutions and other types of regulations.

From GIRAI:

Gender equality is defined as the granting of “equal rights, responsibilities and opportunities"" to people of all gender identities, which extends beyond the traditional binary concept of equality between women and men, and girls and boys. Accordingly, gender does not only refer to the biological sex assigned to a person at birth, but also incorporates how a person identifies as being male, female, or somewhere outside the binary. In this regard, the right to gender equality not only includes protections for women and girls, but also for persons who identify as non-binary (including gender queer, gender fluid), transgender, and/or intersex, as well as sexual minorities (homosexuals, bisexuals, asexuals, etc.).

Traditionally, the right to gender equality was framed within the right to be free from discrimination on the basis of ‘sex’, which has been invoked to provide women and girls with equal protection under the law and access to the same economic, social and political opportunities as men as boys. This is the language reflected in the Universal Declaration of Human Rights (UDHR), Convention on the Elimination of Discrimination Against Women (CEDAW), International Covenant on Civil and Political Rights, and the Sustainable Development Goals (SDGs). While these frameworks are important tools for protecting the rights of women and girls, the use of binary language poses the risk of ignoring the rights of gender non-conforming persons and sexual minorities altogether.",1,Has a framework; Developing a Framework; No framework,1,"Method: https://drive.google.com/file/d/1LPE9nEoq5oprQEpJLSaXrQPuGV1cyusd/view
Thematic Overview: https://drive.google.com/file/d/10CKhUlPWmRfx2wPNtUDyrLR5Tn9Ho4_-/view",Core,0,RCID_103,,RCID_090; RCID_091; RCID_092; RCID_093; RCID_094; RCID_095; RCID_096; RCID_097; RCID_098; RCID_099; RCID_100; RCID_101; RCID_102; RCID_104; RCID_105; RCID_106,RCID_090; RCID_091; RCID_092; RCID_093; RCID_094; RCID_095; RCID_096; RCID_097; RCID_098; RCID_099; RCID_100; RCID_101; RCID_102; RCID_103; RCID_104; RCID_105; RCID_106
Digital Governance,Gender Equality,NA,dg_gend_02,Global Index on Responsible AI 1st Edition,Global Index on Responsible AI,2024,GIRAI,Legal Status,dg_gend_legal,Gender Equality: fr_doc1_type_text,Is there a legally binding or enforceable framework?,"From GIRAI:

Gender equality is defined as the granting of “equal rights, responsibilities and opportunities"" to people of all gender identities, which extends beyond the traditional binary concept of equality between women and men, and girls and boys. Accordingly, gender does not only refer to the biological sex assigned to a person at birth, but also incorporates how a person identifies as being male, female, or somewhere outside the binary. In this regard, the right to gender equality not only includes protections for women and girls, but also for persons who identify as non-binary (including gender queer, gender fluid), transgender, and/or intersex, as well as sexual minorities (homosexuals, bisexuals, asexuals, etc.).

Traditionally, the right to gender equality was framed within the right to be free from discrimination on the basis of ‘sex’, which has been invoked to provide women and girls with equal protection under the law and access to the same economic, social and political opportunities as men as boys. This is the language reflected in the Universal Declaration of Human Rights (UDHR), Convention on the Elimination of Discrimination Against Women (CEDAW), International Covenant on Civil and Political Rights, and the Sustainable Development Goals (SDGs). While these frameworks are important tools for protecting the rights of women and girls, the use of binary language poses the risk of ignoring the rights of gender non-conforming persons and sexual minorities altogether.",1,No; Yes,1,"Method: https://drive.google.com/file/d/1LPE9nEoq5oprQEpJLSaXrQPuGV1cyusd/view
Thematic Overview: https://drive.google.com/file/d/10CKhUlPWmRfx2wPNtUDyrLR5Tn9Ho4_-/view",Core,0,RCID_090,,RCID_091; RCID_092; RCID_093; RCID_094; RCID_095; RCID_096; RCID_097; RCID_098; RCID_099; RCID_100; RCID_101; RCID_102; RCID_103; RCID_104; RCID_105; RCID_106,RCID_090; RCID_091; RCID_092; RCID_093; RCID_094; RCID_095; RCID_096; RCID_097; RCID_098; RCID_099; RCID_100; RCID_101; RCID_102; RCID_103; RCID_104; RCID_105; RCID_106
Digital Governance,Gender Equality,NA,dg_gend_03,Global Index on Responsible AI 1st Edition,Global Index on Responsible AI,2024,GIRAI,Government Actions,dg_gend_actions,Gender Equality: ga_existence_text,Is there evidence of actions of the national/federal government to address AI in this area?,"If the country has an adopted framework in place for the thematic area, any government action in relation to that thematic area is taken as a proxy of implementation of an existing framework by the state. This excludes government actions in relation to developing a new framework – whether the government already has a framework or not – which are captured in the Frameworks indicator.

From GIRAI:

Gender equality is defined as the granting of “equal rights, responsibilities and opportunities"" to people of all gender identities, which extends beyond the traditional binary concept of equality between women and men, and girls and boys. Accordingly, gender does not only refer to the biological sex assigned to a person at birth, but also incorporates how a person identifies as being male, female, or somewhere outside the binary. In this regard, the right to gender equality not only includes protections for women and girls, but also for persons who identify as non-binary (including gender queer, gender fluid), transgender, and/or intersex, as well as sexual minorities (homosexuals, bisexuals, asexuals, etc.).

Traditionally, the right to gender equality was framed within the right to be free from discrimination on the basis of ‘sex’, which has been invoked to provide women and girls with equal protection under the law and access to the same economic, social and political opportunities as men as boys. This is the language reflected in the Universal Declaration of Human Rights (UDHR), Convention on the Elimination of Discrimination Against Women (CEDAW), International Covenant on Civil and Political Rights, and the Sustainable Development Goals (SDGs). While these frameworks are important tools for protecting the rights of women and girls, the use of binary language poses the risk of ignoring the rights of gender non-conforming persons and sexual minorities altogether.",1,No; Yes,1,"Method: https://drive.google.com/file/d/1LPE9nEoq5oprQEpJLSaXrQPuGV1cyusd/view
Thematic Overview: https://drive.google.com/file/d/10CKhUlPWmRfx2wPNtUDyrLR5Tn9Ho4_-/view",Core,0,RCID_090,,RCID_091; RCID_092; RCID_093; RCID_094; RCID_095; RCID_096; RCID_097; RCID_098; RCID_099; RCID_100; RCID_101; RCID_102; RCID_103; RCID_104; RCID_105; RCID_106,RCID_090; RCID_091; RCID_092; RCID_093; RCID_094; RCID_095; RCID_096; RCID_097; RCID_098; RCID_099; RCID_100; RCID_101; RCID_102; RCID_103; RCID_104; RCID_105; RCID_106
Digital Governance,Impact Assessments,NA,dg_impact_01,Global Index on Responsible AI 1st Edition,Global Index on Responsible AI,2024,GIRAI,Frameworks,dg_impact_frame,Impact Assessments: fr_doc1_existence_text,"Are there national/federal laws, regulations, policies, strategies, plans and/or guidelines that specifically speak to AI in this area?","For the purpose of this indicator, frameworks addressing this thematic area include:

1) Non-binding frameworks that provide guidelines, principles, recommendations, which are voluntary measures that implementers should follow, but are not required to.
2) Policies, strategies, long term strategic plans, etc. that articulate the approach adopted by the government and are expected to be accomplished.
3) Legally enforceable frameworks such as laws, by-laws, decrees, resolutions and other types of regulations.

From GIRAI:

An impact assessment can be defined as ‘a structured process for considering the implications, for people and their environment, of proposed actions while there is still an opportunity to modify [or abandon] the proposed actions’ if the impact they pose contains a potential or actual threat of harm. Harm, in this context, can be defined as ‘a wrongful setback or injury’ and, in legal terms, is often expressed as a ‘violation of an interest’. It is also important to note that harms can occur at the individual, communal, and societal levels.

In the context of AI, impact assessments can be used as a tool for both predicting the anticipated, and assessing the actual, consequences of an AI system in terms of benefits and harms. When assessing anticipated risks, impact assessments require users of AI technologies to consider the type and scope of impact before and after deployment.

Accordingly, it is useful to think about impact assessments in terms of two types: ex-ante impact assessment and ex-post impact assessments.

Ex-ante impact assessment: involves an analysis of the potential benefits and harms of an AI system in a particular context and for a specific purpose prior to making the decision to deploy.

Ex-post impact assessment: involves an analysis of the actual benefits and harms imposed by an AI system after making the decision to deploy. ",1,Has a framework; Developing a Framework; No framework,1,"Method: https://drive.google.com/file/d/1LPE9nEoq5oprQEpJLSaXrQPuGV1cyusd/view
Thematic Overview: https://drive.google.com/file/d/1_gZIA0LoZPEHfEFye72qqNNcuo8SMPOP/view",Core,0,RCID_094,RCID_100; RCID_102,RCID_090; RCID_091; RCID_092; RCID_093; RCID_095; RCID_096; RCID_097; RCID_098; RCID_099; RCID_101; RCID_103; RCID_104; RCID_105; RCID_106,RCID_090; RCID_091; RCID_092; RCID_093; RCID_094; RCID_095; RCID_096; RCID_097; RCID_098; RCID_099; RCID_100; RCID_101; RCID_102; RCID_103; RCID_104; RCID_105; RCID_106
Digital Governance,Impact Assessments,NA,dg_impact_02,Global Index on Responsible AI 1st Edition,Global Index on Responsible AI,2024,GIRAI,Legal Status,dg_impact_legal,Impact Assessments: fr_doc1_type_text,Is there a legally binding or enforceable framework?,"From GIRAI:

An impact assessment can be defined as ‘a structured process for considering the implications, for people and their environment, of proposed actions while there is still an opportunity to modify [or abandon] the proposed actions’ if the impact they pose contains a potential or actual threat of harm. Harm, in this context, can be defined as ‘a wrongful setback or injury’ and, in legal terms, is often expressed as a ‘violation of an interest’. It is also important to note that harms can occur at the individual, communal, and societal levels.

In the context of AI, impact assessments can be used as a tool for both predicting the anticipated, and assessing the actual, consequences of an AI system in terms of benefits and harms. When assessing anticipated risks, impact assessments require users of AI technologies to consider the type and scope of impact before and after deployment.

Accordingly, it is useful to think about impact assessments in terms of two types: ex-ante impact assessment and ex-post impact assessments.

Ex-ante impact assessment: involves an analysis of the potential benefits and harms of an AI system in a particular context and for a specific purpose prior to making the decision to deploy.

Ex-post impact assessment: involves an analysis of the actual benefits and harms imposed by an AI system after making the decision to deploy. ",1,No; Yes,1,"Method: https://drive.google.com/file/d/1LPE9nEoq5oprQEpJLSaXrQPuGV1cyusd/view
Thematic Overview: https://drive.google.com/file/d/1LPE9nEoq5oprQEpJLSaXrQPuGV1cyusd/view",Core,0,RCID_094,,RCID_090; RCID_091; RCID_092; RCID_093; RCID_095; RCID_096; RCID_097; RCID_098; RCID_099; RCID_100; RCID_101; RCID_102; RCID_103; RCID_104; RCID_105; RCID_106,RCID_090; RCID_091; RCID_092; RCID_093; RCID_094; RCID_095; RCID_096; RCID_097; RCID_098; RCID_099; RCID_100; RCID_101; RCID_102; RCID_103; RCID_104; RCID_105; RCID_106
Digital Governance,Impact Assessments,NA,dg_impact_06,Global Index on Responsible AI 1st Edition,Global Index on Responsible AI,2024,GIRAI,Government Actions,dg_impact_actions,Impact Assessments: ga_existence_text,Is there evidence of actions of the national/federal government to address AI in this area?,"If the country has an adopted framework in place for the thematic area, any government action in relation to that thematic area is taken as a proxy of implementation of an existing framework by the state. This excludes government actions in relation to developing a new framework – whether the government already has a framework or not – which are captured in the Frameworks indicator.

From GIRAI:

An impact assessment can be defined as ‘a structured process for considering the implications, for people and their environment, of proposed actions while there is still an opportunity to modify [or abandon] the proposed actions’ if the impact they pose contains a potential or actual threat of harm. Harm, in this context, can be defined as ‘a wrongful setback or injury’ and, in legal terms, is often expressed as a ‘violation of an interest’. It is also important to note that harms can occur at the individual, communal, and societal levels.

In the context of AI, impact assessments can be used as a tool for both predicting the anticipated, and assessing the actual, consequences of an AI system in terms of benefits and harms. When assessing anticipated risks, impact assessments require users of AI technologies to consider the type and scope of impact before and after deployment.

Accordingly, it is useful to think about impact assessments in terms of two types: ex-ante impact assessment and ex-post impact assessments.

Ex-ante impact assessment: involves an analysis of the potential benefits and harms of an AI system in a particular context and for a specific purpose prior to making the decision to deploy.

Ex-post impact assessment: involves an analysis of the actual benefits and harms imposed by an AI system after making the decision to deploy. ",1,No; Yes,1,"Method: https://drive.google.com/file/d/1LPE9nEoq5oprQEpJLSaXrQPuGV1cyusd/view
Thematic Overview: https://drive.google.com/file/d/1LPE9nEoq5oprQEpJLSaXrQPuGV1cyusd/view",Core,0,RCID_094,RCID_100; RCID_102,RCID_090; RCID_091; RCID_092; RCID_093; RCID_095; RCID_096; RCID_097; RCID_098; RCID_099; RCID_101; RCID_103; RCID_104; RCID_105; RCID_106,RCID_090; RCID_091; RCID_092; RCID_093; RCID_094; RCID_095; RCID_096; RCID_097; RCID_098; RCID_099; RCID_100; RCID_101; RCID_102; RCID_103; RCID_104; RCID_105; RCID_106
Digital Governance,Independent Oversight,NA,dg_over_01,Global Index on Responsible AI 1st Edition,Global Index on Responsible AI,2024,GIRAI,Frameworks,dg_over_frame,Human Oversight and Determination: fr_doc1_existence_text,"Are there national/federal laws, regulations, policies, strategies, plans and/or guidelines that specifically speak to AI in this area?","For the purpose of this indicator, frameworks addressing this thematic area include:

1) Non-binding frameworks that provide guidelines, principles, recommendations, which are voluntary measures that implementers should follow, but are not required to.
2) Policies, strategies, long term strategic plans, etc. that articulate the approach adopted by the government and are expected to be accomplished.
3) Legally enforceable frameworks such as laws, by-laws, decrees, resolutions and other types of regulations.

From GIRAI: 

Human oversight can be defined as ‘the act of supervising something [a practice, or process] by humans to ensure it is being done correctly’. In the context of AI, human oversight requires systems to be designed in a way that allows for human supervision or control and provides clear channels for intervention or interference by humans to prevent or disrupt adverse effects in the use and deployment of AI tools. It is also worth noting that the UNESCO Recommendation on the Ethics of AI (Recommendation) expands the traditional definition of human oversight to include ‘inclusive public oversight’ in appropriate circumstances.

Human determination, which is often referred to as ‘human agency’, is defined as ‘the capacity of an individual to act with free will’, which is most clearly demonstrated through the choices people make. Human determination is closely related to the concept of personal autonomy, which not only concerns the ability to make choices voluntarily and independently, but also includes the freedom that is necessary to pursue and act in accordance with those choices. In the context of AI, human determination enables individuals to exercise judgment, evaluate complex ethical considerations, and make informed decisions that consider the broader societal impact, ensuring that AI is aligned with human values and responsible use.",1,Has a framework; Developing a Framework; No framework,1,"Method: https://drive.google.com/file/d/1LPE9nEoq5oprQEpJLSaXrQPuGV1cyusd/view
Thematic Overview: https://drive.google.com/file/d/1qeZxqyLXoR5xvmYGsKbD9QwA2Ic-CVPU/view",Core,0,RCID_105,RCID_095,RCID_090; RCID_091; RCID_092; RCID_093; RCID_094; RCID_096; RCID_097; RCID_098; RCID_099; RCID_100; RCID_101; RCID_102; RCID_103; RCID_104; RCID_106,RCID_090; RCID_091; RCID_092; RCID_093; RCID_094; RCID_095; RCID_096; RCID_097; RCID_098; RCID_099; RCID_100; RCID_101; RCID_102; RCID_103; RCID_104; RCID_105; RCID_106
Digital Governance,Independent Oversight,NA,dg_over_02,Global Index on Responsible AI 1st Edition,Global Index on Responsible AI,2024,GIRAI,Legal Status,dg_over_legal,Human Oversight and Determination: fr_doc1_type_text,Is there a legally binding or enforceable framework?,"From GIRAI: 

Human oversight can be defined as ‘the act of supervising something [a practice, or process] by humans to ensure it is being done correctly’. In the context of AI, human oversight requires systems to be designed in a way that allows for human supervision or control and provides clear channels for intervention or interference by humans to prevent or disrupt adverse effects in the use and deployment of AI tools. It is also worth noting that the UNESCO Recommendation on the Ethics of AI (Recommendation) expands the traditional definition of human oversight to include ‘inclusive public oversight’ in appropriate circumstances.

Human determination, which is often referred to as ‘human agency’, is defined as ‘the capacity of an individual to act with free will’, which is most clearly demonstrated through the choices people make. Human determination is closely related to the concept of personal autonomy, which not only concerns the ability to make choices voluntarily and independently, but also includes the freedom that is necessary to pursue and act in accordance with those choices. In the context of AI, human determination enables individuals to exercise judgment, evaluate complex ethical considerations, and make informed decisions that consider the broader societal impact, ensuring that AI is aligned with human values and responsible use.",1,No; Yes,1,"Method: https://drive.google.com/file/d/1LPE9nEoq5oprQEpJLSaXrQPuGV1cyusd/view
Thematic Overview: https://drive.google.com/file/d/1qeZxqyLXoR5xvmYGsKbD9QwA2Ic-CVPU/view",Core,0,,,,RCID_090; RCID_091; RCID_092; RCID_093; RCID_094; RCID_095; RCID_096; RCID_097; RCID_098; RCID_099; RCID_100; RCID_101; RCID_102; RCID_103; RCID_104; RCID_105; RCID_106
Digital Governance,Independent Oversight,NA,dg_over_03,Global Index on Responsible AI 1st Edition,Global Index on Responsible AI,2024,GIRAI,Government Actions,dg_over_actions,Human Oversight and Determination: ga_existence_text,Is there evidence of actions of the national/federal government to address AI in this area?,"If the country has an adopted framework in place for the thematic area, any government action in relation to that thematic area is taken as a proxy of implementation of an existing framework by the state. This excludes government actions in relation to developing a new framework – whether the government already has a framework or not – which are captured in the Frameworks indicator.

From GIRAI: 

Human oversight can be defined as ‘the act of supervising something [a practice, or process] by humans to ensure it is being done correctly’. In the context of AI, human oversight requires systems to be designed in a way that allows for human supervision or control and provides clear channels for intervention or interference by humans to prevent or disrupt adverse effects in the use and deployment of AI tools. It is also worth noting that the UNESCO Recommendation on the Ethics of AI (Recommendation) expands the traditional definition of human oversight to include ‘inclusive public oversight’ in appropriate circumstances.

Human determination, which is often referred to as ‘human agency’, is defined as ‘the capacity of an individual to act with free will’, which is most clearly demonstrated through the choices people make. Human determination is closely related to the concept of personal autonomy, which not only concerns the ability to make choices voluntarily and independently, but also includes the freedom that is necessary to pursue and act in accordance with those choices. In the context of AI, human determination enables individuals to exercise judgment, evaluate complex ethical considerations, and make informed decisions that consider the broader societal impact, ensuring that AI is aligned with human values and responsible use.",1,No; Yes,1,"Method: https://drive.google.com/file/d/1LPE9nEoq5oprQEpJLSaXrQPuGV1cyusd/view
Thematic Overview: https://drive.google.com/file/d/1qeZxqyLXoR5xvmYGsKbD9QwA2Ic-CVPU/view",Core,0,RCID_105,RCID_095,RCID_090; RCID_091; RCID_092; RCID_093; RCID_094; RCID_096; RCID_097; RCID_098; RCID_099; RCID_100; RCID_101; RCID_102; RCID_103; RCID_104; RCID_106,RCID_090; RCID_091; RCID_092; RCID_093; RCID_094; RCID_095; RCID_096; RCID_097; RCID_098; RCID_099; RCID_100; RCID_101; RCID_102; RCID_103; RCID_104; RCID_105; RCID_106
Digital Governance,Public Grievance Mechanisms,NA,gd_griev_01,Global Index on Responsible AI 1st Edition,Global Index on Responsible AI,2024,GIRAI,Frameworks,dg_griev_frame,Access to Remedy and Redress: fr_doc1_existence_text,"Are there national/federal laws, regulations, policies, strategies, plans and/or guidelines that specifically speak to AI in this area?","For the purpose of this indicator, frameworks addressing this thematic area include:

1) Non-binding frameworks that provide guidelines, principles, recommendations, which are voluntary measures that implementers should follow, but are not required to.
2) Policies, strategies, long term strategic plans, etc. that articulate the approach adopted by the government and are expected to be accomplished.
3) Legally enforceable frameworks such as laws, by-laws, decrees, resolutions and other types of regulations.

From GIRAI: 

Access to effective remedy and redress refers to legal mechanisms that allow for human rights violations to be thoroughly investigated and adequately resolved by rectifying the harm that was caused and holding those responsible to account. Remedy, in this case, refers to the removal of a harm; while redress refers to the compensation for, or reparation of, that harm
. Both components are required for effective enforcement of human rights.

In the context of AI-related injuries, this requires persons who have suffered harm as a result of the development or use of an AI system to be able to submit complaints, to pursue legal actions in court, or to report issues to a competent authority and to have those harms addressed with due diligence. ",1,Has a framework; Developing a Framework; No framework,1,"Method: https://drive.google.com/file/d/1LPE9nEoq5oprQEpJLSaXrQPuGV1cyusd/view
Thematic Overview: https://drive.google.com/file/d/1JGYaKay_8PrsMWq5v-InsxOWhhuTYHyo/view",Core,0,RCID_104,RCID_101; RCID_102; RCID_103,RCID_090; RCID_091; RCID_092; RCID_093; RCID_094; RCID_095; RCID_096; RCID_097; RCID_098; RCID_099; RCID_100; RCID_105; RCID_106,RCID_090; RCID_091; RCID_092; RCID_093; RCID_094; RCID_095; RCID_096; RCID_097; RCID_098; RCID_099; RCID_100; RCID_101; RCID_102; RCID_103; RCID_104; RCID_105; RCID_106
Digital Governance,Public Grievance Mechanisms,NA,gd_griev_02,Global Index on Responsible AI 1st Edition,Global Index on Responsible AI,2024,GIRAI,Legal Status,dg_griev_legal,Access to Remedy and Redress: fr_doc1_type_text,Is there a legally binding or enforceable framework?,"From GIRAI: 

Access to effective remedy and redress refers to legal mechanisms that allow for human rights violations to be thoroughly investigated and adequately resolved by rectifying the harm that was caused and holding those responsible to account. Remedy, in this case, refers to the removal of a harm; while redress refers to the compensation for, or reparation of, that harm
. Both components are required for effective enforcement of human rights.

In the context of AI-related injuries, this requires persons who have suffered harm as a result of the development or use of an AI system to be able to submit complaints, to pursue legal actions in court, or to report issues to a competent authority and to have those harms addressed with due diligence. ",1,No; Yes,1,"Method: https://drive.google.com/file/d/1LPE9nEoq5oprQEpJLSaXrQPuGV1cyusd/view
Thematic Overview: https://drive.google.com/file/d/1JGYaKay_8PrsMWq5v-InsxOWhhuTYHyo/view",Core,0,RCID_104,,RCID_090; RCID_091; RCID_092; RCID_093; RCID_094; RCID_095; RCID_096; RCID_097; RCID_098; RCID_099; RCID_100; RCID_101; RCID_102; RCID_103; RCID_105; RCID_106,RCID_090; RCID_091; RCID_092; RCID_093; RCID_094; RCID_095; RCID_096; RCID_097; RCID_098; RCID_099; RCID_100; RCID_101; RCID_102; RCID_103; RCID_104; RCID_105; RCID_106
Digital Governance,Public Grievance Mechanisms,NA,gd_griev_03,Global Index on Responsible AI 1st Edition,Global Index on Responsible AI,2024,GIRAI,Government Actions,dg_griev_actions,Access to Remedy and Redress: ga_existence_text,Is there evidence of actions of the national/federal government to address AI in this area?,"If the country has an adopted framework in place for the thematic area, any government action in relation to that thematic area is taken as a proxy of implementation of an existing framework by the state. This excludes government actions in relation to developing a new framework – whether the government already has a framework or not – which are captured in the Frameworks indicator.

From GIRAI: 

Access to effective remedy and redress refers to legal mechanisms that allow for human rights violations to be thoroughly investigated and adequately resolved by rectifying the harm that was caused and holding those responsible to account. Remedy, in this case, refers to the removal of a harm; while redress refers to the compensation for, or reparation of, that harm
. Both components are required for effective enforcement of human rights.

In the context of AI-related injuries, this requires persons who have suffered harm as a result of the development or use of an AI system to be able to submit complaints, to pursue legal actions in court, or to report issues to a competent authority and to have those harms addressed with due diligence. ",1,No; Yes,1,"Method: https://drive.google.com/file/d/1LPE9nEoq5oprQEpJLSaXrQPuGV1cyusd/view
Thematic Overview: https://drive.google.com/file/d/1JGYaKay_8PrsMWq5v-InsxOWhhuTYHyo/view",Core,0,RCID_104,RCID_101; RCID_102; RCID_103,RCID_090; RCID_091; RCID_092; RCID_093; RCID_094; RCID_095; RCID_096; RCID_097; RCID_098; RCID_099; RCID_100; RCID_105; RCID_106,RCID_090; RCID_091; RCID_092; RCID_093; RCID_094; RCID_095; RCID_096; RCID_097; RCID_098; RCID_099; RCID_100; RCID_101; RCID_102; RCID_103; RCID_104; RCID_105; RCID_106
